std Years = 1981-2010
DOY,   Average Extent,   Std Deviation,      10th,      25th,      50th,      75th,      90th
001,            6.999,           0.635,     6.278,     6.656,     6.908,     7.374,     7.721
002,            6.808,           0.649,     6.053,     6.458,     6.667,     7.161,     7.623
003,            6.621,           0.646,     5.846,     6.278,     6.501,     6.864,     7.501
004,            6.451,           0.655,     5.698,     6.061,     6.316,     6.689,     7.353
005,            6.296,           0.680,     5.525,     5.947,     6.166,     6.541,     7.245
006,            6.142,           0.670,     5.343,     5.765,     6.046,     6.393,     7.050
007,            5.999,           0.655,     5.262,     5.647,     5.880,     6.239,     6.853
008,            5.838,           0.657,     5.140,     5.478,     5.677,     6.127,     6.729
009,            5.681,           0.664,     4.953,     5.305,     5.487,     5.993,     6.590
010,            5.547,           0.662,     4.793,     5.191,     5.363,     5.900,     6.453
011,            5.423,           0.646,     4.652,     5.058,     5.284,     5.744,     6.292
012,            5.305,           0.636,     4.562,     4.946,     5.222,     5.679,     6.198
013,            5.160,           0.621,     4.480,     4.787,     4.974,     5.518,     5.990
014,            5.047,           0.606,     4.415,     4.708,     4.839,     5.366,     5.904
015,            4.926,           0.593,     4.306,     4.590,     4.710,     5.226,     5.834
016,            4.819,           0.588,     4.196,     4.426,     4.602,     5.165,     5.705
017,            4.709,           0.576,     4.113,     4.292,     4.514,     5.134,     5.541
018,            4.614,           0.572,     4.035,     4.195,     4.411,     5.014,     5.379
019,            4.521,           0.567,     3.962,     4.107,     4.317,     4.919,     5.308
020,            4.427,           0.543,     3.854,     3.992,     4.254,     4.853,     5.161
021,            4.335,           0.525,     3.811,     3.906,     4.207,     4.723,     5.082
022,            4.240,           0.511,     3.676,     3.886,     4.104,     4.639,     4.984
023,            4.154,           0.493,     3.583,     3.778,     4.018,     4.522,     4.896
024,            4.074,           0.483,     3.489,     3.716,     3.994,     4.401,     4.809
025,            3.998,           0.474,     3.453,     3.698,     3.877,     4.279,     4.707
026,            3.929,           0.462,     3.422,     3.590,     3.813,     4.198,     4.612
027,            3.861,           0.444,     3.380,     3.513,     3.768,     4.090,     4.520
028,            3.808,           0.429,     3.265,     3.521,     3.754,     4.027,     4.465
029,            3.734,           0.417,     3.208,     3.510,     3.672,     3.943,     4.366
030,            3.665,           0.409,     3.162,     3.442,     3.635,     3.859,     4.285
031,            3.605,           0.404,     3.098,     3.375,     3.584,     3.813,     4.222
032,            3.534,           0.376,     3.037,     3.282,     3.480,     3.702,     4.132
033,            3.489,           0.364,     3.030,     3.226,     3.474,     3.605,     4.065
034,            3.430,           0.357,     2.977,     3.188,     3.425,     3.564,     4.000
035,            3.377,           0.358,     2.967,     3.146,     3.375,     3.512,     3.954
036,            3.326,           0.349,     2.965,     3.098,     3.293,     3.467,     3.882
037,            3.280,           0.341,     2.915,     3.100,     3.239,     3.408,     3.877
038,            3.227,           0.346,     2.866,     3.029,     3.185,     3.359,     3.751
039,            3.181,           0.345,     2.827,     2.996,     3.139,     3.304,     3.724
040,            3.141,           0.346,     2.787,     2.951,     3.119,     3.266,     3.704
041,            3.097,           0.346,     2.720,     2.919,     3.050,     3.233,     3.610
042,            3.064,           0.339,     2.659,     2.892,     3.026,     3.208,     3.582
043,            3.025,           0.328,     2.668,     2.852,     2.966,     3.196,     3.536
044,            2.998,           0.333,     2.694,     2.834,     2.926,     3.160,     3.515
045,            2.969,           0.333,     2.642,     2.809,     2.895,     3.116,     3.503
046,            2.935,           0.344,     2.589,     2.748,     2.848,     3.089,     3.475
047,            2.918,           0.351,     2.587,     2.730,     2.821,     3.082,     3.442
048,            2.914,           0.347,     2.598,     2.727,     2.827,     3.090,     3.366
049,            2.903,           0.355,     2.573,     2.711,     2.810,     3.097,     3.389
050,            2.881,           0.353,     2.548,     2.701,     2.802,     3.034,     3.417
051,            2.876,           0.342,     2.540,     2.689,     2.829,     3.014,     3.407
052,            2.881,           0.350,     2.520,     2.703,     2.791,     2.989,     3.404
053,            2.885,           0.355,     2.539,     2.705,     2.805,     2.989,     3.409
054,            2.892,           0.354,     2.538,     2.719,     2.805,     3.033,     3.352
055,            2.889,           0.363,     2.543,     2.705,     2.802,     3.034,     3.402
